"STATION","NAME","DATE","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-04","1.49"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-05","2.86"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-06","1.92"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-07","1.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-08","1.68"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-09","3.06"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-10","1.25"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-11","7.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1963-12","3.03"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-01","4.56"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-02","4.67"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-03","3.49"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-04","3.70"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-05","0.54"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-06","1.91"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-07","3.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-08","1.79"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-09","2.65"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-10","2.83"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-11","2.19"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1964-12","5.08"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-01","2.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-02","3.18"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-03","2.22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-04","2.32"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-05","0.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-06","2.99"
