"STATION","NAME","DATE","PRCP"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-04","5.22"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-05","2.80"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-06","4.21"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-07","5.53"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-08","2.11"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-09","1.99"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-10","2.58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-11","3.43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1961-12","1.72"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-01","2.34"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-02","3.56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-03","3.85"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-04","3.02"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-05","1.88"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-06","1.81"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-07","2.44"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-08","2.57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-09","4.69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-10","2.11"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-11","1.54"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1962-12","1.84"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-01","1.96"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-02","2.09"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-03","5.29"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-04","2.39"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-05","1.57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-06","2.40"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-07","3.46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-08","2.31"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-09","1.40"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-10","0.16"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-11","2.54"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1963-12","1.25"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-01","2.56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-02","1.74"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-03","4.96"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-04","7.61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-05","1.78"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-06","3.85"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-07","4.48"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-08","1.79"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-09","0.74"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-10","1.42"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-11","2.74"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1964-12","4.27"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-01","3.84"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-02","2.98"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-03","3.17"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-04","1.79"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-05","1.21"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-06","2.31"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-07","1.82"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-08","3.26"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1965-09","4.07"
